time t_x t_y Delta_x Delta_y
0.0 0.0 0.0 2.0 1.0
0.02002002002002002 0.0 0.0022284907719163746 2.0 1.0075102330572048
0.04004004004004004 0.0 0.004456981543832749 2.0 1.0150204661144095
0.06006006006006006 0.0 0.0066854723157491235 2.0 1.0225306991716143
0.08008008008008008 0.0 0.008913963087665499 2.0 1.030040932228819
0.10010010010010009 0.0 0.011142453859581873 2.0 1.0375511652860239
0.12012012012012012 0.0 0.013370944631498247 2.0 1.0450613983432286
0.14014014014014015 0.0 0.015599435403414623 2.0 1.0525716314004334
0.16016016016016016 0.0 0.017827926175330997 2.0 1.0600818644576382
0.18018018018018017 0.0 0.020056416947247368 2.0 1.067592097514843
0.20020020020020018 0.0 0.022284907719163746 2.0 1.0751023305720477
0.22022022022022023 0.0 0.02451339849108012 2.0 1.0826125636292525
0.24024024024024024 0.0 0.026741889262996494 2.0 1.0901227966864573
0.2602602602602603 0.0 0.028970380034912875 2.0 1.097633029743662
0.2802802802802803 0.0 0.031198870806829246 2.0 1.1051432628008668
0.3003003003003003 0.0 0.03342736157874562 2.0 1.1126534958580718
0.3203203203203203 0.0 0.035655852350661994 2.0 1.1201637289152764
0.34034034034034033 0.0 0.037884343122578365 2.0 1.1276739619724814
0.36036036036036034 0.0 0.040112833894494736 2.0 1.1351841950296861
0.38038038038038036 0.0 0.04234132466641112 2.0 1.142694428086891
0.40040040040040037 0.0 0.04456981543832749 2.0 1.1502046611440957
0.42042042042042044 0.0 0.04679830621024387 2.0 1.1577148942013005
0.44044044044044045 0.0 0.04902679698216024 2.0 1.1652251272585052
0.46046046046046046 0.0 0.05125528775407662 2.0 1.17273536031571
0.4804804804804805 0.0 0.05348377852599299 2.0 1.1802455933729148
0.5005005005005005 0.0 0.055712269297909366 2.0 1.1877558264301196
0.5205205205205206 0.0 0.05794076006982575 2.0 1.1952660594873243
0.5405405405405406 0.0 0.06016925084174212 2.0 1.2027762925445291
0.5605605605605606 0.0 0.06239774161365849 2.0 1.2102865256017339
0.5805805805805806 0.0 0.06462623238557487 2.0 1.2177967586589387
0.6006006006006006 0.0 0.06685472315749123 2.0 1.2253069917161434
0.6206206206206206 0.0 0.06908321392940761 2.0 1.2328172247733482
0.6406406406406406 0.0 0.07131170470132399 2.0 1.240327457830553
0.6606606606606606 0.0 0.07354019547324037 2.0 1.2478376908877578
0.6806806806806807 0.0 0.07576868624515673 2.0 1.2553479239449625
0.7007007007007007 0.0 0.07799717701707311 2.0 1.2628581570021673
0.7207207207207207 0.0 0.08022566778898947 2.0 1.270368390059372
0.7407407407407407 0.0 0.08245415856090586 2.0 1.2778786231165769
0.7607607607607607 0.0 0.08468264933282224 2.0 1.2853888561737816
0.7807807807807807 0.0 0.0869111401047386 2.0 1.2928990892309864
0.8008008008008007 0.0 0.08913963087665498 2.0 1.3004093222881912
0.8208208208208209 0.0 0.09136812164857136 2.0 1.307919555345396
0.8408408408408409 0.0 0.09359661242048774 2.0 1.315429788402601
0.8608608608608609 0.0 0.0958251031924041 2.0 1.3229400214598055
0.8808808808808809 0.0 0.09805359396432048 2.0 1.3304502545170105
0.9009009009009009 0.0 0.10028208473623687 2.0 1.337960487574215
0.9209209209209209 0.0 0.10251057550815323 2.0 1.34547072063142
0.9409409409409409 0.0 0.10473906628006961 2.0 1.3529809536886246
0.960960960960961 0.0 0.10696755705198598 2.0 1.3604911867458296
0.980980980980981 0.0 0.10919604782390235 2.0 1.3680014198030341
1.001001001001001 0.0 0.11142453859581873 2.0 1.3755116528602391
1.021021021021021 0.0 0.11365302936773511 2.0 1.383021885917444
1.0410410410410411 0.0 0.1158815201396515 2.0 1.3905321189746487
1.0610610610610611 0.0 0.11811001091156786 2.0 1.3980423520318535
1.0810810810810811 0.0 0.12033850168348424 2.0 1.4055525850890582
1.1011011011011012 0.0 0.1225669924554006 2.0 1.413062818146263
1.1211211211211212 0.0 0.12479548322731698 2.0 1.4205730512034678
1.1411411411411412 0.0 0.12702397399923337 2.0 1.4280832842606725
1.1611611611611612 0.0 0.12925246477114974 2.0 1.4355935173178773
1.1811811811811812 0.0 0.1314809555430661 2.0 1.443103750375082
1.2012012012012012 0.0 0.13370944631498247 2.0 1.4506139834322869
1.2212212212212212 0.0 0.13593793708689886 2.0 1.4581242164894916
1.2412412412412412 0.0 0.13816642785881522 2.0 1.4656344495466964
1.2612612612612613 0.0 0.14039491863073159 2.0 1.4731446826039012
1.2812812812812813 0.0 0.14262340940264798 2.0 1.480654915661106
1.3013013013013013 0.0 0.14485190017456434 2.0 1.4881651487183107
1.3213213213213213 0.0 0.14708039094648073 2.0 1.4956753817755155
1.3413413413413413 0.0 0.1493088817183971 2.0 1.5031856148327203
1.3613613613613613 0.0 0.15153737249031346 2.0 1.510695847889925
1.3813813813813813 0.0 0.15376586326222985 2.0 1.5182060809471298
1.4014014014014013 0.0 0.15599435403414622 2.0 1.5257163140043346
1.4214214214214214 0.0 0.1582228448060626 2.0 1.5332265470615394
1.4414414414414414 0.0 0.16045133557797894 2.0 1.5407367801187442
1.4614614614614614 0.0 0.16267982634989533 2.0 1.5482470131759491
1.4814814814814814 0.0 0.16490831712181173 2.0 1.5557572462331537
1.5015015015015014 0.0 0.1671368078937281 2.0 1.5632674792903587
1.5215215215215214 0.0 0.16936529866564448 2.0 1.5707777123475632
1.5415415415415414 0.0 0.17159378943756082 2.0 1.5782879454047682
1.5615615615615615 0.0 0.1738222802094772 2.0 1.5857981784619728
1.5815815815815815 0.0 0.17605077098139357 2.0 1.5933084115191778
