time simulation_fidelity
0.0 0.9999928444485792
1.0 0.8848323785801068
2.0 0.9999328967714076
3.0 0.9999914286881116
4.0 0.9998908636611409
5.0 0.9999589549473032
6.0 0.9999797790520439
7.0 0.9998967423820865
8.0 0.9999668498284211
9.0 0.9999826519435622
10.0 0.9999113108928425
11.0 0.9999527722957883
12.0 0.9999932714410539
13.0 0.9999451687367353
14.0 0.9999295995166675
15.0 0.999969085697099
16.0 0.9999868843642946
17.0 0.9999658232279123
18.0 0.9999405640792635
19.0 0.9999427156391096
20.0 0.9999687474429038
21.0 0.9999645263268361
22.0 0.9999532174432468
23.0 0.9999572233174006
24.0 0.9999651857853783
25.0 0.9999601161644186
26.0 0.9999700475375177
27.0 0.9999688672871079
28.0 0.9999634302681423
29.0 0.999972170747039
30.0 0.9999570247374041
31.0 0.9999703733183177
32.0 0.9999521837758335
33.0 0.9999671757644591
34.0 0.9999448637321697
35.0 0.9999622500310662
36.0 0.9999314883300665
37.0 0.9999485808855948
38.0 0.9999168082993234
39.0 0.9999136055835317
40.0 0.9999130859254612
41.0 0.9998606004630153
42.0 0.9998810122316156
43.0 0.9998309985625871
44.0 0.999742537384619
45.0 0.9997387544341801
46.0 0.9996479684495804
47.0 0.9994501255320909
48.0 0.9993182935190413
49.0 0.9991771773064313
50.0 0.9988066594752225
51.0 0.9982911818396664
52.0 0.9978442950499723
53.0 0.9974174732548613
54.0 0.9968066600735921
55.0 0.9960577907412617
56.0 0.9954539157974072
57.0 0.9952773806849836
58.0 0.995343538623847
59.0 0.9953379917840722
60.0 0.9951909353480531
61.0 0.9806029289108426
62.0 0.9536449341343807
63.0 0.9318501030460766
64.0 0.91955648751776
65.0 0.9073668211268988
66.0 0.8915360946289665
67.0 0.8822853161958518
68.0 0.8745913190315722
69.0 0.8678615080561942
70.0 0.8681798923709295
71.0 0.8777972355585565
72.0 0.892731399433765
73.0 0.9094458212076022
74.0 0.92423002520755
75.0 0.9348832850272775
76.0 0.9382430793111413
77.0 0.9332961054372066
78.0 0.919283641782515
79.0 0.8978610863646314
80.0 0.8708675586919917
81.0 0.8405834100654064
82.0 0.8094477709969337
83.0 0.7779724601628332
84.0 0.7481751217671655
85.0 0.7223077478503991
86.0 0.7025053218850226
87.0 0.6902749845222744
88.0 0.6848400718008582
89.0 0.6837408751879509
90.0 0.68343118468759
91.0 0.6760984776916844
92.0 0.6671769105113167
93.0 0.65656201736883
94.0 0.6438429797278412
95.0 0.6291877650831778
96.0 0.6127868458708926
97.0 0.5946896472176815
98.0 0.5755622524209808
99.0 0.5556407169934156
100.0 0.5352055747402268
