tunneling "$t_x^{(1)}$ model" "$t_x^{(1)}$ uncertainty" "$t_y^{(1)}$ model" "$t_y^{(1)}$ uncertainty" "$t_x^{(2)}$ model" "$t_x^{(2)}$ uncertainty" "$t_y^{(2)}$ model" "$t_y^{(2)}$ uncertainty"
0.0 23.403426095575586 0.12585316898294993 76.33132685288507 0.0076598317662976605 27.953102412943164 0.14129641294686407 4.40409711553187 0.19796848691868443
0.012121212121212121 24.161879164638176 0.12250911439226272 76.38698942950482 0.00707036657738142 28.749249199421996 0.13753326588151726 4.675115705985616 0.19678678512816697
0.024242424242424242 24.936948816045383 0.11918085439292232 76.44166689162878 0.007000634738154654 29.56015363190454 0.13378226730792278 4.956826987355823 0.19560114180791627
0.03636363636363636 25.728580403170724 0.11587039541925767 76.49537984679237 0.006617772936188276 30.38563082463529 0.13006242739252957 5.249418644911982 0.19442289587261852
0.048484848484848485 26.53669309694217 0.11258441003431553 76.54814886274973 0.006121165311087016 31.22546643499384 0.12635794112943588 5.553074748197797 0.19325149460478444
0.06060606060606061 27.361178568002526 0.10932685881433009 76.5999943897257 0.005929665066882219 32.0794155339121 0.12266383300879811 5.867975454474459 0.19208093120012742
0.07272727272727272 28.20189965479371 0.10607592343010144 76.65093663741715 0.00534012893439879 32.94720149246759 0.11899576081363453 6.194296701267767 0.19090414776990572
0.08484848484848485 29.05868900527977 0.1028640930584283 76.70099548502229 0.005477698079935727 33.82851484891046 0.1153473086719444 6.532209899772417 0.18973829727768354
0.09696969696969697 29.931347697432685 0.09966145531550794 76.75019033218118 0.005004978210641925 34.723012231428214 0.11172879396565513 6.881881628819501 0.18856160669045016
0.10909090909090909 30.819643839044225 0.09650916090588704 76.79854005597888 0.005024565977430789 35.63031526263429 0.10813391264853009 7.243473309125778 0.18739237963666275
0.12121212121212122 31.72331117048715 0.0933679078271365 76.84606281737251 0.0042776890293408035 36.55000952814521 0.10456902318561691 7.6171408937559875 0.18621935308124088
0.13333333333333333 32.64204760944794 0.09026987018582713 76.89277597110991 0.004085488731493026 37.48164352916282 0.10102472054084334 8.003034543116637 0.18504277022302196
0.14545454545454545 33.57551383663264 0.08719820474333258 76.93869594230353 0.004119568849861832 38.42472772027345 0.09752914987519098 8.40129829112272 0.18386624278613173
0.15757575757575756 34.523331853716584 0.08415196553572211 76.98383810241027 0.004011462930915825 39.37873354934471 0.0940579732347163 8.812069731495138 0.18268289668015847
0.1696969696969697 35.48508352742116 0.08114799278689526 77.02821667252579 0.00322859899734492 40.343092579082956 0.090634551406698 9.23547967424328 0.18149090741483184
0.18181818181818182 36.460309172660494 0.07820450950009734 77.07184453820659 0.0035371920932277066 41.31719564680368 0.08723566534231386 9.671651825525206 0.1802969844739351
0.19393939393939394 37.448506094278905 0.0752607213451975 77.11473323322099 0.002613888230528882 42.300392092717296 0.08388057674087457 10.120702441014723 0.17910036485199127
0.20606060606060606 38.44912720569156 0.07239371088460433 77.15689275092792 0.0026235348001252606 43.29198906711695 0.08057084538494252 10.58274000032013 0.17789327875213765
0.21818181818181817 39.46157961448129 0.06953666310655195 77.19833151741197 0.00205082917260459 44.291250942082634 0.07731489982679432 11.057864866115768 0.17667534320178996
0.23030303030303031 40.48522328089887 0.06674712166425241 77.23905626445378 0.0018713240669889018 45.29739875872913 0.07409162167769655 11.546168949855222 0.17545964974989198
0.24242424242424243 41.5193696714286 0.06397356727881233 77.27907197686528 0.0025169952796025435 46.309609840684075 0.07093259947232348 12.04773536854924 0.17422286032618964
0.2545454545454545 42.56328050421913 0.06126827095819333 77.31838184879788 0.001060971246540776 47.32701749052444 0.06780597440133473 12.562638118835146 0.17298744930906446
0.26666666666666666 43.6161665273066 0.05860151536635782 77.35698725186123 0.0018056195213884626 48.34871080480719 0.06474158805158692 13.090941732768592 0.17173354698743012
0.2787878787878788 44.677186362740166 0.05596218792936239 77.394887693925 0.0005609721095321206 49.37373465888658 0.06171172208821081 13.632700939887835 0.17046752841291907
0.2909090909090909 45.74544545845385 0.05341726388898782 77.43208084662982 0.00044398911273603377 50.401089815579546 0.05875714446174169 14.187960349622895 0.1691910215459887
0.30303030303030304 46.81999508020072 0.05088883290369177 77.46856257800815 0.0014064695032733425 51.42973317879045 0.05588408265956023 14.75675409649887 0.16790655148497113
0.3151515151515151 47.89983148883692 0.048428080370567256 77.50432697940255 0.0 52.458578297275814 0.05304025920354736 15.339105534425087 0.1665921822935596
0.32727272727272727 48.983895157221355 0.04601839310781399 77.53936643489149 0.0 53.48649593286482 0.050260522203928445 15.93502689331766 0.16527216779329654
0.3393939393939394 50.07107023452022 0.04369494208718563 77.57367174693341 0.0015094825584222248 54.512314973318645 0.047569652809889944 16.544518967887655 0.16394071219316714
0.3515151515151515 51.16018403585666 0.04137409304215048 77.60723218793821 0.0 55.53482343835333 0.044936270725456764 17.16757079227266 0.1625887909639164
0.36363636363636365 52.250006838203035 0.039112574337229124 77.6400356989005 0.0020337816978969565 56.55276976754844 0.04233297672609782 17.804159328729614 0.1612219200570663
0.37575757575757573 53.339251828944434 0.03696310922779315 77.6720690043529 0.0 57.564864341289415 0.039840162784925526 18.454249159920895 0.15983514548545172
0.3878787878787879 54.42657525006596 0.03483338212822142 77.70331779255758 0.0 58.5697812245925 0.0374056809753219 19.117792185213023 0.15842416793385597
0.4 55.51057688370351 0.03279404487240483 77.73376696525585 0.0 59.56616021043184 0.03500501890022823 19.79472731786113 0.15700631899422732
