delta "$\Delta_x^{(1)}$ model" "$\Delta_x^{(1)}$ uncertainty" "$\Delta_y^{(1)}$ model" "$\Delta_y^{(1)}$ uncertainty" "$\Delta_x^{(2)}$ model" "$\Delta_x^{(2)}$ uncertainty" "$\Delta_y^{(2)}$ model" "$\Delta_y^{(2)}$ uncertainty"
-4.0 0.07452565768810529 0.4273476084594746 0.1731630653676006 0.36290155020711784 0.1490086498711597 0.40608685468450684 0.5701991910366856 0.33195833564373006
-3.919191919191919 0.056413749223090746 0.42610199207713273 0.1619829570337554 0.36156615410675297 0.10462776999497646 0.40482674455907 0.5594871002975944 0.3265946692511676
-3.8383838383838382 0.04189028472331474 0.42499566088408464 0.15291843484542392 0.3604767278619013 0.07092288999782571 0.4042373006608427 0.5530171439160528 0.3216838158176661
-3.757575757575758 0.03045457090545003 0.424014047534099 0.14586341869946134 0.3596295286572305 0.046063132226136234 0.40422024008010843 0.5502286069505915 0.3172737338657026
-3.676767676767677 0.02163500170927061 0.42314040842512685 0.14073734444177116 0.3590183076291234 0.02835907165160562 0.40464879539791715 0.5505567401877229 0.31341066445587396
-3.595959595959596 0.014993016238305637 0.4223558892988187 0.13748804997217715 0.358634335069273 0.016288249891934007 0.40537416350483796 0.5534254760792872 0.3101377824529145
-3.515151515151515 0.010126558056750473 0.42164014096175706 0.13609464064607343 0.3584665372390211 0.008510092837754914 0.4062327836604863 0.5582426071958272 0.30749360016945476
-3.4343434343434343 0.00667311626984525 0.4209712211393598 0.1365703214371249 0.35850171596520863 0.003871556352314562 0.4070539764749419 0.5643984519573794 0.30551018088316156
-3.3535353535353534 0.004312463839315264 0.42032626813211366 0.13896518525357351 0.35872465268917414 0.001405584441854297 0.4076669202365319 0.5712687678672004 0.30421127461826614
-3.2727272727272725 0.0027692445794590004 0.4196817168895386 0.14336894770825226 0.3591183647083 0.0003249916137266036 0.40790723819714647 0.5782223034567268 0.30361055314309815
-3.191919191919192 0.0018155944306294236 0.4190133222854166 0.14991361982748486 0.3596643758124358 1.4696755414973768e-05 0.40762212998902786 0.5846329312402038 0.3037101213768055
-3.111111111111111 0.0012740172713513775 0.41829670164227806 0.1587761103653414 0.36034284559580565 -2.540732359535502e-05 0.4066748674937169 0.5898958149747493 0.3044994902162314
-3.0303030303030303 0.0010207690832027532 0.4175073345028695 0.17018075194449725 0.3611330819581756 -7.197342114198578e-05 0.4049484451787289 0.5934465870516025 0.3059550837690079
-2.9494949494949494 0.0009900379872842104 0.41662078162056454 0.18440174536533996 0.36201352696312333 -3.9806435775765006e-05 0.4023481690613375 0.5947821029795587 0.3080404615594393
-2.8686868686868685 0.0011792414409879126 0.41561265386019525 0.20176551705035636 0.36296230367173987 3.0917830891116823e-06 0.39880446283075327 0.5934810608006439 0.31070712676076206
-2.787878787878788 0.0016557965399061451 0.4144587664088391 0.22265298643330003 0.36395700792473845 0.0002591183087708491 0.3942751940134823 0.5892226668114534 0.3138959492322237
-2.7070707070707067 0.0025657551345397195 0.41313520675921356 0.24750173950562276 0.3649754774973244 0.0013839869717300521 0.3887468877079768 0.5818016217057423 0.3175390733115984
-2.6262626262626263 0.004144733025759435 0.41161796079353974 0.2768081057309736 0.3659956980937511 0.004316324055447022 0.3822371438504397 0.5711379902041523 0.3215620490393572
-2.5454545454545454 0.006731601654586132 0.40988334421551087 0.3111291353294838 0.3669957562480728 0.010477463229722733 0.3747948641426243 0.5572809658759574 0.32588613804741196
-2.4646464646464645 0.010785451643950084 0.4079074870092494 0.3510844733248121 0.36795461365715887 0.02193888943029528 0.3664995236866555 0.5404060989743066 0.33043064873934813
-2.3838383838383836 0.01690637916049801 0.4056667178384629 0.3973581264777988 0.368851743135205 0.041650491122262566 0.3574603731716989 0.5208061427180882 0.33511492440621266
-2.3030303030303028 0.02586068720994137 0.40313716818936496 0.45070011668415383 0.3696674772465742 0.0737461451416669 0.34780921014427807 0.49887622691003747 0.3398604367229991
-2.2222222222222223 0.03861113226290354 0.40029459080231833 0.5119280157463609 0.3703828273614239 0.12394593283207656 0.33769399770353736 0.47509452782247386 0.3445922707904125
-2.141414141414141 0.05635287859823834 0.3971149460827097 0.5819283491134758 0.37098036921952093 0.20007610639095155 0.32726408663687323 0.44999992946395484 0.3492403006355534
-2.0606060606060606 0.08055584374947217 0.3935736512561428 0.6616578606812265 0.37144273504684766 0.3127275939485 0.3166550829136236 0.42416835412766785 0.3537403304298978
-1.9797979797979797 0.11301412174004846 0.3896465597947559 0.7521446195758174 0.3717544858054775 0.47606968428066915 0.3059704650072195 0.3981894797697832 0.3580346119238937
-1.8989898989898988 0.15590315042361086 0.38530918933867575 0.8544889542287101 0.37190105517078553 0.7088254493766587 0.29526017509395036 0.3726454844255449 0.36207207117417933
-1.818181818181818 0.21184522750375018 0.380537934954327 0.9698641882625427 0.3718686629593077 1.0353971334343794 0.28451019249963766 0.3480932929580219 0.3658087324759465
-1.737373737373737 0.2839838785361431 0.3753081786159604 1.0995171539278321 0.371645036538386 1.4871009902231007 0.2736299389832369 0.3250515825773253 0.3692070349465499
-1.6565656565656566 0.3760674017644089 0.3695979977491249 1.2447684502281842 0.37121871309492566 2.1034302798149915 0.26245883148535737 0.3039935655041005 0.37223587372650196
-1.5757575757575757 0.4925416660778034 0.36338481252971516 1.407012411482675 0.3705797832438354 2.9332115976909114 0.25078138803389916 0.28534633067657705 0.37486969743574705
-1.4949494949494948 0.6386518693990159 0.3566475817244169 1.5877167438747393 0.3697187356138335 4.0354536094875675 0.23835222747398951 0.2694973159465174 0.37708811119775093
